device_size,DriverICIdx,LED_zone1,IC_current1,groupidx,name,LED_driverIC,device_type,customer,end_user,classIdx,index
12.8,7,675,4.1,27,JDI 12.8 直下BLU DOB,由EE評估,JDI 12.8 直下BLU DOB,JDI,DDP 技研新陽(東莞),18,102
12.8,7,675,3.33,27,JDI 12.8 直下BLU DOB,由EE評估,JDI 12.8 直下BLU DOB,JDI,DDP 技研新陽(東莞),18,103
12.8,7,675,7,27,JDI 12.8 直下BLU DOB,由EE評估,JDI 12.8 直下BLU DOB,JDI,DDP 技研新陽(東莞),18,104
12.8,7,675,11.1,27,JDI 12.8 直下BLU DOB,由EE評估,JDI 12.8 直下BLU DOB,JDI,DDP 技研新陽(東莞),18,105
15.4,3,378,56,8,"AUO CAR 15.4"" 直下式 ODM",TI_TLC69614QRTWRQ1,"AUO CAR 15.4"" 直下式 ODM",AUO,GM,42,106
31,6,405,6.6,28,"JDI 31"" 直下BLU DOB",TLC6C5748QDCARQ1,"JDI 31"" 直下BLU DOB",JDI,LUCID,43,107
31,6,630,6.6,28,"JDI 31"" 直下BLU DOB",TLC6C5748QDCARQ1,"JDI 31"" 直下BLU DOB",JDI,LUCID,14,108
31,6,405,6.6,28,"JDI 31"" 直下BLU DOB",TLC6C5748QDCARQ1,"JDI 31"" 直下BLU DOB",JDI,LUCID,43,109
12.8,7,504,9.8,27,JDI 12.8 直下BLU DOB,由EE評估,JDI 12.8 直下BLU DOB,JDI,DDP 技研新陽(東莞),38,110
8,6,130,29,43,Visteon BMW MIC NEXT 8inch,TLC6C5748QDCARQ1,Visteon BMW MIC NEXT 8inch Rd3,Visteon,BMW,41,111
14.62,6,456,10.2,14,BOSCH BMW FPD BLU 14.62inch ,TLC6C5748QDCARQ1,BOSCH BMW FPD BLU 14.62inch ,BOSCH,BMW,24,112
12.3,1,260,31.46,39,STL_MY25,MAX25500,STL_MY25,ALAP,STL,39,113
12.3,7,260,31.46,39,STL_MY25,由EE評估,STL_MY25,ALAP,STL,39,114
12.3,1,260,31.46,39,STL_MY25,MAX25500,STL_MY25,ALAP,STL,39,115
10.25,4,176,19,7,AU586,TLC69601,AU586,AUO,Stellantis,19,116
10.25,6,176,19,7,AU586,TLC6C5748QDCARQ1,AU586,AUO,Stellantis,19,117
11.42,7,196,12.9,20,Continental_Volvo GPA (DIMD)_11.42inch,由EE評估,Continental_Volvo GPA (DIMD)_11.42inch,Continental,Volvo,44,118
12.3,4,260,8.25,6,AU_auto_12.3in,TLC69601,AU_auto_12.3in,AUO,STL,39,119
12.3,4,260,8.25,6,AU_auto_12.3in,TLC69601,AU_auto_12.3in,AUO,STL,39,120
11.42,7,182,11.2,20,Continental_Volvo GPA (DIMD)_11.42inch,由EE評估,Continental_Volvo GPA (DIMD)_11.42inch,Continental,Volvo,44,121
13.36,7,661,8.1,44,Visteon BMW Mini CDD_FALD_13.36inch,由EE評估,Visteon BMW Mini CDD_FALD_13.36inch Rd1,Visteon,BMW,18,122
16.9,7,738,8.9,40,Visteon BMW CID Mid 16.9inch ,由EE評估,Visteon BMW CID Mid 16.9inch ,Visteon,BMW,45,123
14.62,6,456,30,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,124
17.9,6,814,30,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,46,125
14.62,6,456,30,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,126
17.9,6,814,30,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,46,127
17.9,6,814,8.8,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,5,128
17.9,6,814,9.7,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,5,129
14.62,6,456,7.6,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,130
14.62,6,456,8.5,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,131
17.9,6,814,7,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,5,132
17.9,6,814,8.1,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,5,133
14.62,6,456,7,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,134
14.62,6,456,7.8,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,135
17.9,6,814,5.8,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,5,136
17.9,6,814,6.8,11,BHTC BMW 17.9inch ,TLC6C5748QDCARQ1,BHTC BMW 17.9inch ,BHTC,BMW,5,137
14.62,6,456,6,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,138
14.62,6,456,6.6,10,BHTC  BMW 14.62inch,TLC6C5748QDCARQ1,BHTC  BMW 14.62inch,BHTC,BMW,24,139
13.36,7,546,7.7,44,Visteon BMW Mini CDD_FALD_13.36inch,由EE評估,Visteon BMW Mini CDD_FALD_13.36inch Rd2,Visteon,BMW,40,140
16.9,7,738,7.9,40,Visteon BMW CID Mid 16.9inch ,由EE評估,Visteon BMW CID Mid 16.9inch ,Visteon,BMW,45,141
16.9,7,738,7.9,40,Visteon BMW CID Mid 16.9inch ,由EE評估,Visteon BMW CID Mid 16.9inch ,Visteon,BMW,45,142
